,nyc,mia,yul,los,rio,hkg,sin,dac,msq,syd,edi,cpt,auh,bjs,del
soq,14900.0,15600.0,14500.0,14200.0,17200.0,3170.0,3040.0,5180.0,11000.0,4220.0,12700.0,12000.0,8690.0,4780.0,6610.0
sou,5500.0,7050.0,5180.0,4960.0,9170.0,9720.0,10900.0,8100.0,1980.0,17100.0,571.0,9640.0,5570.0,8240.0,6810.0
spg,1640.0,317.0,2120.0,9270.0,7030.0,14100.0,16700.0,14200.0,8740.0,14900.0,6820.0,12600.0,12600.0,12200.0,13400.0
spu,7070.0,8560.0,6740.0,4300.0,9560.0,8900.0,9700.0,6950.0,1410.0,16000.0,1960.0,8610.0,4060.0,7760.0,5570.0
srg,6470.0,4880.0,6870.0,12700.0,7370.0,14900.0,16100.0,17100.0,13600.0,10300.0,11700.0,13000.0,17500.0,14100.0,17500.0
srq,1670.0,288.0,2160.0,9250.0,7000.0,14200.0,16700.0,14300.0,8770.0,14900.0,6860.0,12600.0,12600.0,12300.0,13400.0
ssa,7000.0,6240.0,7400.0,5090.0,1220.0,16900.0,15700.0,14500.0,9660.0,14700.0,8320.0,6160.0,10900.0,16100.0,13100.0
ssh,9400.0,10800.0,9110.0,4020.0,10000.0,7920.0,7950.0,5580.0,2950.0,14000.0,4310.0,7070.0,2060.0,7440.0,4170.0
sti,2380.0,1210.0,2900.0,8100.0,5570.0,15300.0,17500.0,14800.0,8790.0,15600.0,6820.0,11100.0,12300.0,13400.0,13600.0
stl,1410.0,1720.0,1550.0,9870.0,8430.0,12700.0,15300.0,13100.0,8130.0,14600.0,6360.0,13800.0,12100.0,10800.0,12400.0
stn,5570.0,7150.0,5250.0,5040.0,9320.0,9580.0,10800.0,7950.0,1830.0,16900.0,509.0,9700.0,5470.0,8080.0,6680.0
stp,1630.0,2410.0,1510.0,9980.0,9080.0,12000.0,14600.0,12400.0,7680.0,14500.0,6000.0,14200.0,11600.0,10100.0,11800.0
str,6290.0,7850.0,5970.0,4720.0,9500.0,9190.0,10200.0,7420.0,1390.0,16400.0,1170.0,9240.0,4760.0,7840.0,6080.0
sts,4140.0,4200.0,4060.0,12500.0,10700.0,11000.0,13500.0,12300.0,9350.0,12000.0,8060.0,16600.0,13000.0,9410.0,12300.0
stt,2640.0,1790.0,3120.0,7480.0,5150.0,15500.0,17500.0,14600.0,8530.0,16000.0,6570.0,10600.0,11900.0,13500.0,13400.0
stx,2700.0,1830.0,3190.0,7470.0,5090.0,15500.0,17500.0,14700.0,8580.0,16000.0,6610.0,10500.0,11900.0,13600.0,13400.0
sub,16300.0,17500.0,15700.0,12200.0,15800.0,3280.0,1360.0,4220.0,10300.0,4920.0,12300.0,9930.0,7190.0,5250.0,5500.0
sun,3300.0,3640.0,3190.0,11700.0,10300.0,11200.0,13700.0,12100.0,8590.0,12800.0,7210.0,15800.0,12400.0,9430.0,11900.0
suv,12700.0,11900.0,12800.0,18700.0,13600.0,8300.0,8420.0,10600.0,15300.0,3230.0,15800.0,13800.0,14200.0,9090.0,12000.0
sux,1870.0,2370.0,1830.0,10300.0,9080.0,12200.0,14700.0,12600.0,8050.0,14200.0,6390.0,14400.0,12000.0,10300.0,12100.0
svd,3300.0,2410.0,3770.0,7100.0,4470.0,16000.0,17700.0,14900.0,8740.0,16000.0,6820.0,9910.0,11900.0,14100.0,13600.0
svg,5660.0,7340.0,5260.0,5810.0,10100.0,8900.0,10300.0,7470.0,1450.0,16300.0,629.0,10400.0,5390.0,7320.0,6260.0
